classification,metric,value
official,living_veterans_fy2025,17587687
official,compensation_recipients_fy2025,6338253
official,service_connected_disabilities_fy2025,46496235
official,average_service_connected_disabilities,7.34
official,veterans_100_percent_fy2025,1847449
official,current_rating_claims_inventory_2026_08_10,600639
official,current_rating_backlog_2026_08_10,69840
official,issue_accuracy_12_month_percent,93.96
official,claim_accuracy_12_month_percent,83.19
official,fy2027_rating_receipts,2921957
official,fy2027_rating_production,2970929
official,fy2027_rating_year_end_inventory,453047
official,fy2027_nonrating_receipts,4283163
official,fy2027_nonrating_production,4394110
official,fy2027_nonrating_year_end_inventory,470843
official,fy2027_vba_fte_all_funding_sources,31406
official,fy2027_board_fte,1163
official,fy2027_board_appeals_received,113433
official,fy2027_board_appeals_decided,102000
official,fy2027_board_year_end_pending,194191
official,fy2025_board_fte,1398
official,fy2025_board_decisions,123962
official,accredited_individuals_2024_11,13670
official,accredited_vso_representatives_2024_11,8141
official,accredited_attorneys_2024_11,5008
official,accredited_claims_agents_2024_11,521
official,adf_claims_agent_application_backlog_2024_11,2200
official,adf_paralegals_2024_11,12
official,adf_attorneys_2024_11,6
official,va_ai_individual_use_cases_2025,367
official,va_ai_consolidated_use_cases_2025,13
official,va_ai_predeployment_2025,138
official,va_ai_pilot_2025,21
official,va_ai_deployed_2025,134
official,va_ai_retired_2025,74
official,va_ai_high_impact_2025,215
official,va_ai_deployed_high_impact_2025,90
official,vba_ai_use_cases_2025,27
official,vba_ai_high_impact_2025,11
official,vba_ai_deployed_high_impact_2025,4
official,fy2027_total_va_budget,488200000000
official,fy2027_vba_goe_tef,5187000000
official,fy2027_mandatory_benefits,282606000000
calculated,compensation_recipient_share_percent,36.0380134125
calculated,veterans_100_percent_share_all_veterans_percent,10.504218093
calculated,veterans_100_percent_share_recipients_percent,29.147605815
calculated,fy2027_total_receipts,7205120
calculated,fy2027_total_production,7365039
calculated,fy2027_total_year_end_inventory,923890
calculated,fy2027_production_margin,159919
calculated,fy2027_production_margin_percent_of_receipts,2.2195188977
calculated,fy2027_planned_utilization_percent,97.8286740912
calculated,five_percent_receipt_surge_shortfall,200337
calculated,ten_percent_receipt_surge_shortfall,560593
calculated,fy2025_board_decisions_per_fte,88.6709585122
calculated,board_fte_keep_pace_ceiling,1280
calculated,board_fte_reduce_25000_ceiling,1562
calculated,board_fte_reduce_50000_ceiling,1844
scenario_defaults,target_operating_utilization_percent,85
scenario_defaults,annual_inventory_reduction,100000
scenario_defaults,marginal_matters_per_fte,225
scenario_defaults,loaded_cost_per_fte,180000
scenario_defaults,intensive_rating_matter_share_percent,25
scenario_defaults,intensive_matters_per_claimant_side_professional,85
scenario_defaults,claimant_side_loaded_cost_per_professional,160000
